,X,CH1,CH2,I
307,-1.8985999999999997e-05,0.027,22.1,0.2800000000000001
308,-1.8984e-05,0.021,22.1,0.32000000000000006
309,-1.8982e-05,0.025,22.1,0.36400000000000005
310,-1.8979999999999998e-05,0.025,22.1,0.404
311,-1.8978e-05,0.025,22.3,0.43200000000000005
312,-1.8976e-05,0.017,22.3,0.43600000000000005
313,-1.8973999999999998e-05,0.015,22.5,0.43200000000000005
314,-1.8971999999999997e-05,0.013,22.5,0.42000000000000004
315,-1.897e-05,0.011,22.9,0.4
316,-1.8968e-05,0.005,23.3,0.368
317,-1.8965999999999998e-05,0.003,23.5,0.32000000000000006
318,-1.8964e-05,0.001,23.7,0.28
319,-1.8962e-05,-0.003,24.1,0.22400000000000003
320,-1.8959999999999998e-05,-0.009,24.3,0.15600000000000006
321,-1.8957999999999997e-05,-0.009,24.5,0.08800000000000005
322,-1.8956e-05,-0.013,24.7,0.028000000000000053
323,-1.8954e-05,-0.017,24.9,-0.035999999999999956
324,-1.8951999999999997e-05,-0.021,25.3,-0.10399999999999994
325,-1.895e-05,-0.025,25.5,-0.17599999999999993
326,-1.8948e-05,-0.025,25.5,-0.23599999999999993
327,-1.8945999999999998e-05,-0.025,25.7,-0.2919999999999999
328,-1.8944e-05,-0.027,25.7,-0.348
329,-1.8942e-05,-0.027,25.7,-0.3959999999999999
330,-1.8939999999999998e-05,-0.025,25.7,-0.42799999999999994
331,-1.8937999999999997e-05,-0.025,25.7,-0.45999999999999996
332,-1.8936e-05,-0.025,25.7,-0.484
333,-1.8934e-05,-0.019,25.5,-0.488
334,-1.8931999999999998e-05,-0.021,25.3,-0.4879999999999999
335,-1.893e-05,-0.015,25.3,-0.46799999999999986
336,-1.8928e-05,-0.013,25.1,-0.44399999999999984
337,-1.8925999999999998e-05,-0.009,24.7,-0.4119999999999999
338,-1.8923999999999997e-05,-0.007,24.5,-0.37199999999999994
339,-1.8922e-05,-0.003,24.3,-0.32399999999999995
340,-1.892e-05,-0.001,24.1,-0.2759999999999999
341,-1.8917999999999997e-05,0.003,23.9,-0.21999999999999992
342,-1.8916e-05,0.005,23.5,-0.15999999999999992
343,-1.8914e-05,0.009,23.7,-0.10399999999999994
344,-1.8911999999999998e-05,0.011,23.3,-0.03999999999999994
345,-1.891e-05,0.013,22.9,0.016000000000000052
346,-1.8908e-05,0.017,22.7,0.07600000000000004
347,-1.8905999999999998e-05,0.017,22.5,0.12800000000000006
348,-1.8903999999999997e-05,0.017,22.5,0.17600000000000005
349,-1.8902e-05,0.019,22.5,0.22000000000000003
350,-1.89e-05,0.019,22.5,0.26000000000000006
351,-1.8897999999999998e-05,0.017,22.5,0.28800000000000003
352,-1.8896e-05,0.015,22.5,0.308
353,-1.8894e-05,0.017,22.5,0.32400000000000007
354,-1.8891999999999998e-05,0.013,22.7,0.328
355,-1.8889999999999997e-05,0.013,22.9,0.328
356,-1.8888e-05,0.009,22.9,0.31200000000000006
357,-1.8886e-05,0.007,23.3,0.29200000000000004
358,-1.8883999999999997e-05,0.005,23.5,0.26800000000000007
359,-1.8882e-05,0.003,23.7,0.23600000000000004
360,-1.888e-05,-0.003,23.9,0.19200000000000003
361,-1.8877999999999998e-05,-0.003,24.1,0.15200000000000005
362,-1.8876e-05,-0.007,24.3,0.10800000000000005
363,-1.8874e-05,-0.009,24.5,0.05600000000000005
364,-1.8871999999999998e-05,-0.015,24.7,4.9960036108132046e-17
365,-1.8869999999999997e-05,-0.015,24.9,-0.05599999999999994
366,-1.8868e-05,-0.015,24.9,-0.10399999999999994
367,-1.8866e-05,-0.017,25.1,-0.15199999999999994
368,-1.8863999999999998e-05,-0.021,25.5,-0.2039999999999999
369,-1.8862e-05,-0.019,25.3,-0.24799999999999994
370,-1.886e-05,-0.019,25.3,-0.2799999999999999
