,X,CH1,CH2,I
408,1.2316e-05,-0.008,11.2,-0.16
409,1.2318e-05,-0.008,12.0,-0.16
410,1.232e-05,-0.008,11.2,-0.16
411,1.2322e-05,-0.016,11.2,-0.32
412,1.2324e-05,-0.008,12.0,-0.16
413,1.2326e-05,-0.008,12.0,-0.16
414,1.2328e-05,-0.008,12.0,-0.16
415,1.233e-05,-0.008,12.0,-0.16
416,1.2332e-05,-0.008,12.0,-0.16
417,1.2334e-05,-0.008,12.0,-0.16
418,1.2336e-05,-0.008,12.0,-0.16
419,1.2338e-05,-0.008,12.0,-0.16
420,1.234e-05,-0.008,12.0,-0.16
421,1.2342e-05,-0.008,12.0,-0.16
422,1.2344e-05,-0.008,12.0,-0.16
423,1.2346e-05,-0.008,12.0,-0.16
424,1.2348e-05,-0.008,12.0,-0.16
425,1.235e-05,-0.008,12.0,-0.16
426,1.2352e-05,-0.016,12.0,-0.32
427,1.2354e-05,-0.008,12.0,-0.16
428,1.2356e-05,-0.008,13.6,-0.16
429,1.2358e-05,-0.008,13.6,-0.16
430,1.236e-05,-0.008,12.0,-0.16
431,1.2362e-05,-0.016,13.6,-0.32
432,1.2364e-05,-0.008,13.6,-0.16
433,1.2366e-05,-0.008,13.6,-0.16
434,1.2368e-05,-0.008,13.6,-0.16
435,1.237e-05,-0.016,13.6,-0.32
436,1.2372e-05,-0.008,13.6,-0.16
437,1.2374e-05,-0.008,13.6,-0.16
438,1.2376e-05,-0.008,13.6,-0.16
439,1.2378e-05,-0.008,13.6,-0.16
440,1.238e-05,-0.008,13.6,-0.16
441,1.2382e-05,-0.008,14.4,-0.16
442,1.2384e-05,-0.008,13.6,-0.16
443,1.2386e-05,-0.008,14.4,-0.16
444,1.2388e-05,-0.008,14.4,-0.16
445,1.239e-05,-0.008,14.4,-0.16
446,1.2392e-05,-0.016,14.4,-0.32
447,1.2394e-05,-0.008,14.4,-0.16
448,1.2396e-05,-0.008,14.4,-0.16
449,1.2398e-05,-0.008,14.4,-0.16
450,1.24e-05,-0.008,14.4,-0.16
451,1.2402000000000001e-05,-0.016,14.4,-0.32
452,1.2404e-05,-0.008,15.2,-0.16
453,1.2406e-05,-0.008,15.2,-0.16
454,1.2408e-05,-0.008,15.2,-0.16
455,1.241e-05,-0.008,15.2,-0.16
456,1.2412e-05,-0.008,15.2,-0.16
457,1.2414e-05,-0.008,15.2,-0.16
458,1.2416e-05,-0.008,15.2,-0.16
459,1.2418e-05,-0.008,15.2,-0.16
460,1.242e-05,-0.008,15.2,-0.16
461,1.2422e-05,-0.008,16.0,-0.16
462,1.2424e-05,-0.008,15.2,-0.16
463,1.2426e-05,-0.008,16.0,-0.16
464,1.2428e-05,-0.008,16.0,-0.16
465,1.243e-05,-0.008,16.0,-0.16
466,1.2432e-05,-0.016,16.0,-0.32
467,1.2434e-05,-0.008,16.0,-0.16
468,1.2436000000000001e-05,-0.008,16.0,-0.16
469,1.2438e-05,-0.008,16.0,-0.16
470,1.244e-05,-0.008,16.0,-0.16
471,1.2442e-05,-0.008,16.8,-0.16
472,1.2444e-05,-0.008,16.8,-0.16
473,1.2446e-05,-0.008,16.8,-0.16
474,1.2448e-05,-0.008,16.8,-0.16
475,1.245e-05,-0.008,16.8,-0.16
476,1.2452e-05,-0.008,16.8,-0.16
477,1.2454e-05,-0.008,16.8,-0.16
478,1.2456e-05,-0.008,16.8,-0.16
479,1.2458e-05,-0.016,17.6,-0.32
480,1.246e-05,-0.008,17.6,-0.16
481,1.2462e-05,-0.008,17.6,-0.16
482,1.2464e-05,-0.008,17.6,-0.16
483,1.2466e-05,-0.008,17.6,-0.16
484,1.2468e-05,-0.008,17.6,-0.16
485,1.2470000000000001e-05,-0.008,17.6,-0.16
486,1.2472e-05,-0.008,17.6,-0.16
